31/05/1995,1,3,8,22,23,36,20,R
03/06/1995,7,15,17,25,26,31,11,R
07/06/1995,7,10,11,15,20,38,25,R
10/06/1995,1,6,16,23,25,31,20,R
14/06/1995,4,11,24,29,30,36,19,R
17/06/1995,14,16,17,18,21,33,35,R
21/06/1995,9,11,15,34,36,38,5,R
24/06/1995,2,16,21,23,31,41,32,R
28/06/1995,1,5,18,19,22,25,17,R
01/07/1995,4,26,27,40,41,42,6,R
05/07/1995,3,12,13,23,28,32,18,R
08/07/1995,7,11,26,33,35,39,27,R
12/07/1995,5,15,16,21,25,27,17,R
15/07/1995,7,16,19,26,28,34,24,R
19/07/1995,9,16,21,26,31,37,28,R
22/07/1995,1,3,16,24,26,39,14,R
26/07/1995,3,7,14,15,34,38,4,R
29/07/1995,1,6,16,31,36,37,2,R
02/08/1995,2,7,10,23,36,40,32,R
05/08/1995,3,9,18,32,36,42,33,R
09/08/1995,2,4,7,13,28,34,26,R
12/08/1995,13,17,23,31,35,38,39,R
16/08/1995,4,11,14,30,36,38,22,R
19/08/1995,2,4,19,22,24,41,14,R
23/08/1995,4,18,20,25,31,38,8,R
26/08/1995,3,9,20,32,35,42,19,R
30/08/1995,8,15,17,21,26,42,9,L1
02/09/1995,1,12,26,35,37,40,10,R
02/09/1995,21,24,32,34,35,36,5,S
06/09/1995,3,16,22,30,31,41,39,R
09/09/1995,3,23,26,33,38,40,30,L1
13/09/1995,26,29,30,35,39,42,4,R
16/09/1995,13,14,25,27,34,42,10,R
20/09/1995,3,6,12,13,27,37,25,R
23/09/1995,1,8,9,13,14,33,11,R
27/09/1995,15,20,22,26,29,36,41,R
30/09/1995,8,13,18,28,30,38,19,R
04/10/1995,4,6,11,30,33,42,23,R
07/10/1995,3,4,7,15,29,37,36,R
11/10/1995,16,17,21,25,26,39,2,L1
14/10/1995,4,9,17,23,32,41,10,R
18/10/1995,10,11,23,27,30,37,13,R
21/10/1995,4,7,9,10,20,30,21,R
25/10/1995,14,23,30,39,40,42,22,R
28/10/1995,1,5,7,9,20,36,42,R
01/11/1995,1,2,3,14,25,42,7,R
04/11/1995,4,21,24,27,33,41,8,R
08/11/1995,6,9,12,32,37,40,23,R
11/11/1995,5,19,35,37,39,41,3,R
15/11/1995,1,28,31,34,37,38,36,R
18/11/1995,2,7,20,24,26,33,6,R
22/11/1995,4,12,17,18,23,29,9,R
25/11/1995,4,9,11,18,33,40,37,R
29/11/1995,4,12,13,20,37,38,16,R
02/12/1995,5,7,17,31,39,41,41,R
06/12/1995,5,6,11,23,25,29,10,R
09/12/1995,1,5,18,28,33,40,23,R
13/12/1995,5,7,8,21,25,41,28,R
16/12/1995,11,22,24,34,37,39,3,R
20/12/1995,1,2,10,18,32,34,11,R
20/12/1995,6,17,24,28,30,32,42,SP
23/12/1995,1,7,8,16,32,39,40,R
27/12/1995,4,7,9,12,21,42,41,R
30/12/1995,11,15,16,30,33,36,17,R
03/01/1996,7,12,17,18,20,32,3,R
06/01/1996,8,10,13,33,35,39,25,R
10/01/1996,3,21,24,28,39,41,6,R
13/01/1996,3,4,9,13,19,28,17,R
17/01/1996,6,7,12,21,34,37,24,R
20/01/1996,7,16,29,33,38,42,22,R
24/01/1996,6,16,32,34,35,37,8,R
27/01/1996,6,10,13,14,25,28,41,R
31/01/1996,1,10,12,13,32,42,16,R
03/02/1996,4,15,18,26,30,41,7,R
07/02/1996,4,6,15,18,21,26,9,R
10/02/1996,4,21,23,34,36,42,8,R
14/02/1996,7,11,18,30,33,42,24,R
17/02/1996,10,11,15,17,18,34,32,R
21/02/1996,2,7,22,29,31,37,16,SP
21/02/1996,4,4,24,44,44,44,44,SP
21/02/1996,2,7,22,29,31,37,16,SP
21/02/1996,4,4,24,44,44,44,44,SP



